賀,http://jisho.org/search/賀%20%23kanji,,,
雅,http://jisho.org/search/雅%20%23kanji,,,
餓,http://jisho.org/search/餓%20%23kanji,,,
介,http://jisho.org/search/介%20%23kanji,,,
回,http://jisho.org/search/回%20%23kanji,,,
灰,http://jisho.org/search/灰%20%23kanji,,,
会,http://jisho.org/search/会%20%23kanji,,,
快,http://jisho.org/search/快%20%23kanji,,,
戒,http://jisho.org/search/戒%20%23kanji,,,
改,http://jisho.org/search/改%20%23kanji,,,
怪,http://jisho.org/search/怪%20%23kanji,,,
拐,http://jisho.org/search/拐%20%23kanji,,,
悔,http://jisho.org/search/悔%20%23kanji,,,
海,http://jisho.org/search/海%20%23kanji,,,
界,http://jisho.org/search/界%20%23kanji,,,
皆,http://jisho.org/search/皆%20%23kanji,,,
械,http://jisho.org/search/械%20%23kanji,,,
絵,http://jisho.org/search/絵%20%23kanji,,,
開,http://jisho.org/search/開%20%23kanji,,,
階,http://jisho.org/search/階%20%23kanji,,,
塊,http://jisho.org/search/塊%20%23kanji,,,
楷,http://jisho.org/search/楷%20%23kanji,,,
解,http://jisho.org/search/解%20%23kanji,,,
潰,http://jisho.org/search/潰%20%23kanji,,,
壊,http://jisho.org/search/壊%20%23kanji,,,
懐,http://jisho.org/search/懐%20%23kanji,,,
諧,http://jisho.org/search/諧%20%23kanji,,,
貝,http://jisho.org/search/貝%20%23kanji,,,
外,http://jisho.org/search/外%20%23kanji,,,
劾,http://jisho.org/search/劾%20%23kanji,,,
害,http://jisho.org/search/害%20%23kanji,,,
崖,http://jisho.org/search/崖%20%23kanji,,,
涯,http://jisho.org/search/涯%20%23kanji,,,
街,http://jisho.org/search/街%20%23kanji,,,
慨,http://jisho.org/search/慨%20%23kanji,,,
蓋,http://jisho.org/search/蓋%20%23kanji,,,
該,http://jisho.org/search/該%20%23kanji,,,
概,http://jisho.org/search/概%20%23kanji,,,
骸,http://jisho.org/search/骸%20%23kanji,,,
垣,http://jisho.org/search/垣%20%23kanji,,,
柿,http://jisho.org/search/柿%20%23kanji,,,
各,http://jisho.org/search/各%20%23kanji,,,
角,http://jisho.org/search/角%20%23kanji,,,
拡,http://jisho.org/search/拡%20%23kanji,,,
革,http://jisho.org/search/革%20%23kanji,,,
格,http://jisho.org/search/格%20%23kanji,,,
核,http://jisho.org/search/核%20%23kanji,,,
殻,http://jisho.org/search/殻%20%23kanji,,,
郭,http://jisho.org/search/郭%20%23kanji,,,
覚,http://jisho.org/search/覚%20%23kanji,,,
